name,address,url,price_category,likes,rating,api
SUGARFISH by sushi nozawa,"202 Spring St (at Sullivan St), New York, NY 10012, United States",http://www.sugarfishsushi.com,2.0,83,9.2,foursquare
Chobani,"152 Prince St (at W Broadway), New York, NY 10012, United States",http://chobanisoho.com,1.0,1028,9.1,foursquare
San Carlo Osteria Piemonte,"90 Thompson St (Spring St), New York, NY 10012, United States",http://www.sancarlonyc.com,3.0,104,9.1,foursquare
Calexico Cart,"Wooster St (at Prince St), New York, NY 10012, United States",http://www.calexico.net,1.0,606,9.0,foursquare
Coco Pazzo Kitchen & Restaurant,"160 Prince St, New York, NY 10012, United States",http://www.cocopazzonyc.com,2.0,57,8.9,foursquare
Pi Greek Bakerie,"512 Broome St (at Thompson St), New York, NY 10013, United States",http://www.pibakerie.com,2.0,265,8.9,foursquare
Blue Ribbon Sushi,"119 Sullivan St (btwn Prince & Spring St), New York, NY 10012, United States",http://www.blueribbonrestaurants.com,3.0,817,9.0,foursquare
Raoul's Restaurant,"180 Prince St (btwn Thompson & Sullivan St), New York, NY 10012, United States",http://www.raouls.com,3.0,386,9.0,foursquare
Boqueria,"171 Spring St (at Thompson St), New York, NY 10012, United States",http://www.boquerianyc.com,3.0,837,8.8,foursquare
Blue Ribbon Brasserie,"97 Sullivan St (btwn Prince & Spring St), New York, NY 10012, United States",http://www.blueribbonrestaurants.com,3.0,358,8.8,foursquare
Cocotte,"110 Thompson St (Prince St), New York, NY 10012, United States",http://www.cocotte-ny.com,2.0,232,8.8,foursquare
Hirohisa,"73 Thompson St, New York, NY 10012, United States",http://hirohisa-nyc.com,3.0,74,8.7,foursquare
Alidoro,"105 Sullivan St (btwn Spring & Prince St), New York, NY 10012, United States",http://www.alidoronyc.com,2.0,546,8.7,foursquare
Cipriani Downtown,"376 W Broadway (btwn Spring & Broome), New York, NY 10012, United States",http://cipriani.com,3.0,310,8.6,foursquare
Piccola Cucina Enoteca,"184 Prince St, New York, NY 10012, United States",http://www.piccolacucinagroup.com/piccola-cucina-wine-bar-new-york/,2.0,62,8.8,foursquare
Bar Ciccio Alimentari,"190 Avenue of the Americas (Spring St), New York, NY 10013, United States",http://ciccionyc.com,2.0,146,8.8,foursquare
west~bourne,"137 Sullivan St (btwn Prince St & W Houston St), New York, NY 10012, United States",http://www.westbourne.com,1.0,120,8.9,foursquare
Sadelle's,"463 W Broadway (btwn Prince & Houston St), New York, NY 10012, United States",http://www.sadelles.com,3.0,750,8.6,foursquare
Lure Fishbar,"142 Mercer St (at Prince St), New York, NY 10012, United States",http://www.lurefishbar.com,3.0,1145,8.8,foursquare
Raku,"48 Macdougal St (King and Macdougal), New York, NY 10012, United States",http://rakunyc.com,,166,9.2,foursquare
Shuka,"38 Macdougal St (at Prince St), New York, NY 10012, United States",https://www.shukanewyork.com,2.0,312,8.9,foursquare
The Dutch,"131 Sullivan St (at Prince St), New York, NY 10012, United States",http://www.thedutchnyc.com,3.0,1447,8.5,foursquare
Mercer Kitchen,"99 Prince St (at Mercer St), New York, NY 10012, United States",http://www.themercerkitchen.com,3.0,1424,8.4,foursquare
Cafe Altro Paradiso,"234 Spring St, New York, NY 10013, United States",http://www.altroparadiso.com,2.0,208,8.4,foursquare
Piccola Cucina Osteria,"196 Spring St (btwn Sullivan & Thompson St), New York, NY 10012, United States",http://www.piccolacucinagroup.com/piccola-cucina-tavern-new-york/,2.0,207,8.1,foursquare
Emmett's,"50 Macdougal St (btwn Prince St and Houston St), New York, NY 10012, United States",http://emmettsnyc.com,2.0,319,8.9,foursquare
Il Corallo Trattoria,"176 Prince St (btwn Sullivan & Thompson St), New York, NY 10012, United States",http://www.ilcorallotrattoria.com,2.0,256,8.2,foursquare
Antique Garage,"41 Mercer St (at Grand St), New York, NY 10013, United States",http://www.antiquegaragesoho.com,3.0,378,8.6,foursquare
12 Chairs,"56 Macdougal St (btwn W Houston & Prince St), New York, NY 10012, United States",http://12chairscafe.com,2.0,432,8.9,foursquare
